model,run_index,created_at,done_reason,prompt_eval_count,prompt_eval_duration_seconds,prompt_tokens_per_second,eval_count,eval_duration_seconds,output_tokens_per_second,total_duration_seconds,load_duration_seconds,client_wall_seconds,wall_output_tokens_per_second,response_chars,thinking_chars,response_preview
llama3.2:3b,1,2026-05-10T22:38:46.339086585Z,length,63,0.007,8763.023,256,1.836,139.432,2.294,0.13,2.295,111.53,1334,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer a promising approach to privacy-preserving AI assistants by reducing the
llama3.2:3b,2,2026-05-10T22:38:48.641106476Z,length,63,0.008,8183.108,256,1.839,139.219,2.301,0.129,2.302,111.21,1334,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer a promising approach to privacy-preserving AI assistants by reducing the
llama3.2:3b,3,2026-05-10T22:38:50.934488607Z,length,63,0.008,8226.82,256,1.837,139.355,2.292,0.127,2.293,111.628,1334,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer a promising approach to privacy-preserving AI assistants by reducing the
qwen2.5:7b,1,2026-05-10T22:39:57.36465725Z,length,67,0.013,5008.703,256,3.515,72.834,4.027,0.111,4.03,63.526,1310,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\n**Introduction**\nLocal small language models (LLMs) offer a compelling solution for privacy-conscious AI applicati
qwen2.5:7b,2,2026-05-10T22:40:01.391446437Z,length,67,0.014,4874.168,256,3.521,72.705,4.023,0.104,4.027,63.577,1310,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\n**Introduction**\nLocal small language models (LLMs) offer a compelling solution for privacy-conscious AI applicati
qwen2.5:7b,3,2026-05-10T22:40:05.42370741Z,length,67,0.014,4828.163,256,3.525,72.619,4.029,0.103,4.032,63.488,1310,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\n**Introduction**\nLocal small language models (LLMs) offer a compelling solution for privacy-conscious AI applicati
deepseek-r1:7b,1,2026-05-10T22:41:10.755368662Z,length,41,0.013,3053.935,256,3.506,73.014,4.083,0.117,4.085,62.671,0,1337,
deepseek-r1:7b,2,2026-05-10T22:41:14.844264221Z,length,41,0.014,2962.49,256,3.514,72.843,4.086,0.112,4.089,62.61,0,1337,
deepseek-r1:7b,3,2026-05-10T22:41:18.938112435Z,length,41,0.014,2971.068,256,3.523,72.666,4.092,0.106,4.094,62.533,0,1337,
smollm2:1.7b,1,2026-05-10T22:41:47.898476568Z,length,68,0.006,11914.515,256,1.446,177.004,1.643,0.037,1.644,155.676,1267,0,"Local Small Language Models (SLMs) offer several advantages in privacy-preserving AI assistants:\n\n1. **Privacy**: SLMs process user data locally on the device, reducing the risk of data breaches or un"
smollm2:1.7b,2,2026-05-10T22:41:49.540102107Z,length,68,0.006,11279.021,256,1.445,177.165,1.64,0.036,1.642,155.95,1267,0,"Local Small Language Models (SLMs) offer several advantages in privacy-preserving AI assistants:\n\n1. **Privacy**: SLMs process user data locally on the device, reducing the risk of data breaches or un"
smollm2:1.7b,3,2026-05-10T22:41:51.18336545Z,length,68,0.006,11174.624,256,1.447,176.921,1.642,0.037,1.643,155.784,1267,0,"Local Small Language Models (SLMs) offer several advantages in privacy-preserving AI assistants:\n\n1. **Privacy**: SLMs process user data locally on the device, reducing the risk of data breaches or un"
phi4-mini:3.8b,1,2026-05-10T22:42:29.599673179Z,length,41,0.009,4736.256,256,2.234,114.603,2.895,0.147,2.898,88.326,1386,0,**Technical Note: Utility of Local Small Language Models in Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) have gained traction as a viable solution to enhance the utility whi
phi4-mini:3.8b,2,2026-05-10T22:42:32.490906243Z,length,41,0.009,4521.129,256,2.238,114.381,2.888,0.138,2.891,88.545,1386,0,**Technical Note: Utility of Local Small Language Models in Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) have gained traction as a viable solution to enhance the utility whi
phi4-mini:3.8b,3,2026-05-10T22:42:35.393448475Z,length,41,0.009,4498.194,256,2.246,113.98,2.899,0.14,2.902,88.201,1386,0,**Technical Note: Utility of Local Small Language Models in Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) have gained traction as a viable solution to enhance the utility whi
gemma3:4b,1,2026-05-10T22:43:48.793136016Z,length,47,0.039,1205.26,256,2.735,93.592,3.49,0.573,3.501,73.112,1244,0,"## Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants\n\n**Date:** October 26, 2023\n**Subject:** Evaluating Local LLMs for Privacy-Focused Assistants\n\n**Introduction:** Tra"
