model,run_index,created_at,done_reason,prompt_eval_count,prompt_eval_duration_seconds,prompt_tokens_per_second,eval_count,eval_duration_seconds,output_tokens_per_second,total_duration_seconds,load_duration_seconds,client_wall_seconds,wall_output_tokens_per_second,response_chars,thinking_chars,response_preview
llama3.2:3b,1,2026-05-06T23:01:09.071276648Z,length,63,0.093,678.236,256,25.387,10.084,25.867,0.175,25.868,9.896,1394,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer a promising approach to privacy-preserving AI assistants by reducing the
llama3.2:3b,2,2026-05-06T23:01:37.628422051Z,length,63,0.08,788.908,256,28.095,9.112,28.556,0.166,28.557,8.964,1394,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer a promising approach to privacy-preserving AI assistants by reducing the
llama3.2:3b,3,2026-05-06T23:02:06.000499212Z,length,63,0.086,736.554,256,27.877,9.183,28.371,0.179,28.372,9.023,1394,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer a promising approach to privacy-preserving AI assistants by reducing the
qwen2.5:7b,1,2026-05-06T23:10:28.247714892Z,length,67,0.197,340.903,256,57.471,4.454,58.088,0.141,58.092,4.407,1347,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\n**Introduction**\nLocal small language models (LLMs) offer a compelling solution for deploying AI assistants that p
qwen2.5:7b,2,2026-05-06T23:11:29.824343433Z,length,67,0.926,72.381,256,60.23,4.25,61.573,0.139,61.577,4.157,1347,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\n**Introduction**\nLocal small language models (LLMs) offer a compelling solution for deploying AI assistants that p
qwen2.5:7b,3,2026-05-06T23:12:28.337878186Z,length,67,0.187,357.614,256,57.905,4.421,58.51,0.136,58.514,4.375,1347,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\n**Introduction**\nLocal small language models (LLMs) offer a compelling solution for deploying AI assistants that p
deepseek-r1:7b,1,2026-05-06T23:21:55.682272308Z,length,41,0.213,192.753,256,67.906,3.77,68.59,0.141,68.593,3.732,0,1305,
deepseek-r1:7b,2,2026-05-06T23:23:06.14229216Z,length,41,0.203,201.981,256,69.754,3.67,70.457,0.157,70.46,3.633,0,1305,
deepseek-r1:7b,3,2026-05-06T23:24:16.609986077Z,length,41,0.492,83.28,256,69.474,3.685,70.465,0.154,70.468,3.633,0,1305,
smollm2:1.7b,1,2026-05-06T23:28:02.920274962Z,length,68,0.086,791.6,256,25.088,10.204,25.316,0.051,25.318,10.111,1356,0,"Local Small Language Models (SLMs) are beneficial for privacy-preserving AI assistants due to their advantages in terms of latency, memory usage, accuracy, and deployment simplicity.\n\n1. **Latency**: "
smollm2:1.7b,2,2026-05-06T23:28:31.522191271Z,length,68,0.077,882.075,256,28.38,9.02,28.6,0.048,28.602,8.95,1356,0,"Local Small Language Models (SLMs) are beneficial for privacy-preserving AI assistants due to their advantages in terms of latency, memory usage, accuracy, and deployment simplicity.\n\n1. **Latency**: "
smollm2:1.7b,3,2026-05-06T23:28:57.947659358Z,length,68,0.089,762.244,256,26.181,9.778,26.423,0.053,26.425,9.688,1356,0,"Local Small Language Models (SLMs) are beneficial for privacy-preserving AI assistants due to their advantages in terms of latency, memory usage, accuracy, and deployment simplicity.\n\n1. **Latency**: "
phi4-mini:3.8b,1,2026-05-06T23:34:11.923330075Z,length,41,0.117,350.486,256,37.283,6.866,37.955,0.198,37.959,6.744,1333,0,**Technical Note: Utility of Local Small Language Models in Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer significant advantages when deployed as part of private AI ass
phi4-mini:3.8b,2,2026-05-06T23:34:52.393531636Z,length,41,0.122,335.862,256,39.751,6.44,40.466,0.206,40.47,6.326,1333,0,**Technical Note: Utility of Local Small Language Models in Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer significant advantages when deployed as part of private AI ass
phi4-mini:3.8b,3,2026-05-06T23:35:34.798404008Z,length,41,0.112,366.16,256,41.693,6.14,42.4,0.207,42.404,6.037,1333,0,**Technical Note: Utility of Local Small Language Models in Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer significant advantages when deployed as part of private AI ass
gemma3:4b,1,2026-05-06T23:36:36.05311635Z,length,47,0.143,327.944,256,43.216,5.924,44.225,0.527,44.234,5.787,1228,0,"## Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants\n\n**Date:** October 26, 2023\n**Subject:** Evaluating Local LLMs for Privacy-Focused Assistants\n\n**Introduction:** Tra"
gemma3:4b,2,2026-05-06T23:37:20.021659098Z,length,47,1.164,40.386,256,41.873,6.114,43.96,0.5,43.963,5.823,1228,0,"## Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants\n\n**Date:** October 26, 2023\n**Subject:** Evaluating Local LLMs for Privacy-Focused Assistants\n\n**Introduction:** Tra"
gemma3:4b,3,2026-05-06T23:38:03.656197119Z,length,47,0.156,301.748,256,42.568,6.014,43.629,0.488,43.636,5.867,1228,0,"## Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants\n\n**Date:** October 26, 2023\n**Subject:** Evaluating Local LLMs for Privacy-Focused Assistants\n\n**Introduction:** Tra"
jingyaogong/minimind2:latest,1,2026-05-06T23:38:36.183707987Z,length,81,0.01,8520.822,256,3.364,76.09,3.404,0.007,3.407,75.136,1008,0,"There are several ways to handle the situation with sensitive information, such as a username or email address, a software application that allows users to access their data without having to share it"
jingyaogong/minimind2:latest,2,2026-05-06T23:38:42.342509924Z,length,81,0.011,7705.728,256,6.115,41.863,6.155,0.007,6.159,41.567,1008,0,"There are several ways to handle the situation with sensitive information, such as a username or email address, a software application that allows users to access their data without having to share it"
jingyaogong/minimind2:latest,3,2026-05-06T23:38:49.866982497Z,length,81,0.011,7435.58,256,7.48,34.223,7.521,0.007,7.524,34.022,1008,0,"There are several ways to handle the situation with sensitive information, such as a username or email address, a software application that allows users to access their data without having to share it"
